Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.49713218171302587,0.5576112925550564,0.8267065697591564,0.805
2,0.36883488522000507,0.37470621984214225,0.8729514037337893,0.8616666666666667
3,0.3145100834979314,0.33150820037785994,0.8911928174433519,0.8736666666666667
4,0.2979225297224576,0.32729144645062214,0.8964657260937723,0.8856666666666667
5,0.27231442173049875,0.3005925607966616,0.9034487672794641,0.894
6,0.25805432029646824,0.31135777134245185,0.9105030639874591,0.886
7,0.2416986999990733,0.27341566062185596,0.9124269630896394,0.9056666666666666
8,0.2243067045870437,0.26556692888682826,0.9187687045746046,0.909
9,0.21457280637058493,0.3155147253060119,0.9235428245689041,0.8896666666666667
10,0.2161614399862616,0.2855183145705056,0.923614080091207,0.8963333333333333
11,0.2061052464595124,0.24565238481823434,0.9279606669516888,0.9173333333333333
12,0.1933956394082607,0.2905747514772922,0.93038335470999,0.9
13,0.1893467794610485,0.25097174239047665,0.9323072538121704,0.913
14,0.17391999033556138,0.28039254610763586,0.9360837964942283,0.906
15,0.17205736867777288,0.2551547026142795,0.9382214621633177,0.9116666666666666
16,0.17374554630283895,0.2806601679705559,0.9351574747042896,0.9123333333333333
17,0.15534899218781897,0.27750649017856477,0.9434231152914351,0.903
18,0.15483987697115228,0.29111281895336316,0.9431380932022232,0.9093333333333333
19,0.14677482632469369,0.3287368875165331,0.9467008693173721,0.8883333333333333
20,0.1487485594945411,0.3077450450311633,0.943993159469859,0.905
21,0.14339288747678064,0.3035584931816668,0.9462733361835542,0.903
22,0.12667036787117725,0.3111795126361416,0.9513324782670657,0.909
23,0.11809664575136415,0.3259467828642339,0.9557503206498503,0.905
24,0.10673777066749525,0.4181228037675882,0.9605244406441499,0.887
25,0.11856565388030113,0.3260672487308608,0.9573179421405159,0.9046666666666666
26,0.0993218893636035,0.31535115366444944,0.9634459170585721,0.9053333333333333
27,0.10438123153156886,0.3315899395681125,0.9606669516887559,0.9013333333333333
28,0.09306225505950924,0.34831442751307434,0.9655835827276614,0.9016666666666666
29,0.10676764866941052,0.3250401424283677,0.9596693743765142,0.899
30,0.09060332810582772,0.30981595946000295,0.967008693173721,0.913
31,0.08817631164012843,0.3872798817985235,0.9671512042183269,0.8933333333333333
32,0.08859533405560813,0.3706735690530548,0.9680775260082657,0.9013333333333333
33,0.08035795320225157,0.34650625737800084,0.9696451474989312,0.91
34,0.07915791827913153,0.35041119771058415,0.970357702721961,0.9103333333333333
35,0.07420157010934941,0.3428667253081469,0.9711415134672937,0.9086666666666666
36,0.06957536851179245,0.3889231133148411,0.973492945703292,0.9013333333333333
37,0.06782400910423635,0.371370945853414,0.9744192674932307,0.9033333333333333
38,0.06462324701130526,0.37277689872388825,0.9744192674932307,0.916
39,0.06695006453308817,0.39173992402093644,0.9758443779392902,0.9123333333333333
40,0.050067421937676056,0.34702904954394126,0.9814735642012256,0.9096666666666666
41,0.05174128346136648,0.42131320026392327,0.9809035200228018,0.9026666666666666
42,0.06601440127445682,0.3463651729708022,0.9754881003277754,0.9086666666666666
43,0.04572967916980097,0.4239269073017219,0.9810460310674077,0.904
44,0.057171509456586896,0.3669706872398742,0.9779820436083797,0.905
45,0.06192889572206255,0.36600933856073214,0.9759156334615933,0.9073333333333333
46,0.05210725710404076,0.40898937523424467,0.9807610089781958,0.9086666666666666
47,0.05544181719218215,0.39456241141306236,0.9790508764429243,0.901
48,0.04483986408322131,0.5001942952054533,0.9836824853926179,0.898
49,0.04976766820216645,0.39655807841336355,0.9822573749465584,0.9063333333333333
50,0.03929779608840268,0.4304741871087475,0.9858201510617073,0.9096666666666666
